Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_SOL
2022-12-24 13:00:00,Bitfinex,SOL/USD,11.314,11.38,11.314,11.355,17779.2601054359,1565.76487058
2022-12-24 12:00:00,Bitfinex,SOL/USD,11.33,11.33,11.29,11.318,7617.46951362194,673.04024683
2022-12-24 11:00:00,Bitfinex,SOL/USD,11.287,11.339,11.287,11.339,13105.81245495844,1155.81730796
2022-12-24 10:00:00,Bitfinex,SOL/USD,11.267,11.33,11.259,11.307,32083.09565533395,2837.45428985
2022-12-24 09:00:00,Bitfinex,SOL/USD,11.288,11.313,11.211,11.275,64256.467968244746,5699.02154929
2022-12-24 08:00:00,Bitfinex,SOL/USD,11.356,11.356,11.284,11.292,37518.45499928856,3322.56951818
2022-12-24 07:00:00,Bitfinex,SOL/USD,11.287,11.401,11.287,11.377,117701.77027489094,10345.58937109
2022-12-24 06:00:00,Bitfinex,SOL/USD,11.384,11.384,11.189,11.284,132750.65000514773,11764.50283633
2022-12-24 05:00:00,Bitfinex,SOL/USD,11.758,11.759,11.124,11.389,285141.9759837437,25036.61216821
2022-12-24 04:00:00,Bitfinex,SOL/USD,11.808,11.808,11.757,11.758,1260.28924519344,107.18568168
2022-12-24 03:00:00,Bitfinex,SOL/USD,11.77,11.795,11.768,11.795,131.8704167739,11.18019642
2022-12-24 02:00:00,Bitfinex,SOL/USD,11.768,11.781,11.764,11.777,9423.96199818202,800.20056026
2022-12-24 01:00:00,Bitfinex,SOL/USD,11.747,11.775,11.738,11.757,8016.249415442639,681.82779752
2022-12-24 00:00:00,Bitfinex,SOL/USD,11.796,11.806,11.734,11.749,6034.76226023031,513.64050219
2022-12-23 23:00:00,Bitfinex,SOL/USD,11.788,11.81,11.785,11.796,3413.21670500808,289.35373898
2022-12-23 22:00:00,Bitfinex,SOL/USD,11.857,11.865,11.762,11.793,7783.789464281279,660.03472096
2022-12-23 21:00:00,Bitfinex,SOL/USD,11.828,11.879,11.823,11.857,36068.39069532738,3041.94911827
2022-12-23 20:00:00,Bitfinex,SOL/USD,11.864,11.884,11.813,11.823,5171.54453532549,437.41389963
2022-12-23 19:00:00,Bitfinex,SOL/USD,11.824,11.872,11.824,11.87,54.7769170322,4.61473606
2022-12-23 18:00:00,Bitfinex,SOL/USD,11.859,11.884,11.827,11.827,13020.96889581527,1100.95281101
2022-12-23 17:00:00,Bitfinex,SOL/USD,11.836,11.873,11.836,11.853,1426.20159072546,120.32410282
2022-12-23 16:00:00,Bitfinex,SOL/USD,11.862,11.863,11.812,11.812,2025.09622017928,171.44397394
2022-12-23 15:00:00,Bitfinex,SOL/USD,11.808,11.917,11.788,11.865,29810.06864008005,2512.43730637
2022-12-23 14:00:00,Bitfinex,SOL/USD,11.877,11.877,11.792,11.808,15395.91426508896,1303.85452787
2022-12-23 13:00:00,Bitfinex,SOL/USD,11.897,11.981,11.792,11.899,58404.16568196815,4908.32554685
2022-12-23 12:00:00,Bitfinex,SOL/USD,11.905,11.909,11.877,11.901,2307.10410512796,193.85800396
2022-12-23 11:00:00,Bitfinex,SOL/USD,11.94,11.942,11.89,11.899,3676.35518068155,308.96337345
2022-12-23 10:00:00,Bitfinex,SOL/USD,11.909,11.986,11.888,11.943,18740.38528305468,1569.15224676
2022-12-23 09:00:00,Bitfinex,SOL/USD,11.897,11.912,11.876,11.903,5180.65505824799,435.23944033
2022-12-23 08:00:00,Bitfinex,SOL/USD,11.896,11.915,11.828,11.885,24038.620066154697,2022.60160422
2022-12-23 07:00:00,Bitfinex,SOL/USD,11.896,11.931,11.896,11.901,2327.53237787229,195.57452129
2022-12-23 06:00:00,Bitfinex,SOL/USD,11.96,11.97,11.874,11.906,31535.963899783303,2648.74549805
2022-12-23 05:00:00,Bitfinex,SOL/USD,12.018,12.023,11.96,11.963,1994.0887450980297,166.68801681
2022-12-23 04:00:00,Bitfinex,SOL/USD,12.048,12.048,11.996,12.02,9515.1223018126,791.60751263
2022-12-23 03:00:00,Bitfinex,SOL/USD,12.083,12.124,12.015,12.024,8908.48081495224,740.89161801
2022-12-23 02:00:00,Bitfinex,SOL/USD,12.017,12.05,11.973,12.043,10085.89057919703,837.48987621
2022-12-23 01:00:00,Bitfinex,SOL/USD,11.846,12.019,11.846,11.988,59552.63081578116,4967.68692157
2022-12-23 00:00:00,Bitfinex,SOL/USD,11.833,11.889,11.75,11.849,15117.33140616107,1275.83183443
2022-12-22 23:00:00,Bitfinex,SOL/USD,11.803,11.837,11.684,11.833,30474.173819116742,2575.35483978
2022-12-22 22:00:00,Bitfinex,SOL/USD,11.861,11.946,11.78,11.813,39205.64769357098,3318.85614946
2022-12-22 21:00:00,Bitfinex,SOL/USD,11.981,11.981,11.851,11.86,7503.2402454148,632.65094818
2022-12-22 20:00:00,Bitfinex,SOL/USD,11.865,12.099,11.845,11.946,54746.71575942294,4582.8491343900005
2022-12-22 19:00:00,Bitfinex,SOL/USD,11.806,11.87,11.799,11.87,7117.7717438558,599.64378634
2022-12-22 18:00:00,Bitfinex,SOL/USD,11.738,11.81,11.704,11.785,4638.239022067,393.5714062
2022-12-22 17:00:00,Bitfinex,SOL/USD,11.862,11.882,11.75,11.76,15684.624542697598,1333.72657676
2022-12-22 16:00:00,Bitfinex,SOL/USD,11.743,11.885,11.743,11.868,19153.49729877012,1613.87742659
2022-12-22 15:00:00,Bitfinex,SOL/USD,11.842,11.85,11.74,11.783,22968.65706718119,1949.30468193
2022-12-22 14:00:00,Bitfinex,SOL/USD,12.03,12.044,11.823,11.836,124163.32247976096,10490.31112536
2022-12-22 13:00:00,Bitfinex,SOL/USD,12.112,12.114,12.028,12.032,69385.3452976128,5766.7341504
2022-12-22 12:00:00,Bitfinex,SOL/USD,12.13,12.157,12.104,12.107,50045.9707121106,4133.6392758
2022-12-22 11:00:00,Bitfinex,SOL/USD,12.108,12.152,12.075,12.123,32970.36093236523,2719.65362801
2022-12-22 10:00:00,Bitfinex,SOL/USD,12.152,12.164,12.09,12.096,856.4085413452801,70.80097068
