Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_LTC
2022-12-25 13:00:00,Bitfinex,LTC/USD,66.01,66.066,65.842,65.867,16610.01938124114,252.17513142
2022-12-25 12:00:00,Bitfinex,LTC/USD,65.925,66.038,65.792,66.01,9038.9980428426,136.93376826
2022-12-25 11:00:00,Bitfinex,LTC/USD,65.821,66.049,65.787,65.877,30474.150397804468,462.59165411
2022-12-25 10:00:00,Bitfinex,LTC/USD,65.899,65.899,65.755,65.81,6257.928226467,95.0908407
2022-12-25 09:00:00,Bitfinex,LTC/USD,65.871,65.94,65.87,65.898,15923.10611137554,241.63261573
2022-12-25 08:00:00,Bitfinex,LTC/USD,65.731,65.913,65.727,65.869,13861.38413835485,210.43866065
2022-12-25 07:00:00,Bitfinex,LTC/USD,65.787,65.874,65.732,65.735,9015.95175628915,137.15603189
2022-12-25 06:00:00,Bitfinex,LTC/USD,65.674,65.783,65.66,65.783,1405.73541794347,21.36928109
2022-12-25 05:00:00,Bitfinex,LTC/USD,65.775,65.799,65.549,65.717,3139.8747041203496,47.77872855
2022-12-25 04:00:00,Bitfinex,LTC/USD,65.897,65.898,65.8,65.828,1912.0253412114405,29.04577598
2022-12-25 03:00:00,Bitfinex,LTC/USD,65.775,65.926,65.775,65.897,1453.90914100523,22.06335859
2022-12-25 02:00:00,Bitfinex,LTC/USD,66.022,66.023,65.765,65.817,2745.95592153447,41.72107391
2022-12-25 01:00:00,Bitfinex,LTC/USD,65.981,66.052,65.954,65.997,9665.297249956291,146.45055457
2022-12-25 00:00:00,Bitfinex,LTC/USD,65.814,66.052,65.814,65.981,74880.30471165154,1134.87677834
2022-12-24 23:00:00,Bitfinex,LTC/USD,65.757,65.92,65.688,65.815,3325.10569918335,50.52200409
2022-12-24 22:00:00,Bitfinex,LTC/USD,65.742,65.836,65.677,65.757,13014.55022977368,197.91885624
2022-12-24 21:00:00,Bitfinex,LTC/USD,65.825,65.981,65.722,65.738,14582.65556100388,221.82992426
2022-12-24 20:00:00,Bitfinex,LTC/USD,65.886,65.897,65.774,65.825,14186.673758043751,215.52105975
2022-12-24 19:00:00,Bitfinex,LTC/USD,65.968,66.08,65.882,65.882,15002.89518108138,227.72373609
2022-12-24 18:00:00,Bitfinex,LTC/USD,65.873,66.054,65.831,65.932,32531.65882340968,493.41228574
2022-12-24 17:00:00,Bitfinex,LTC/USD,65.842,65.891,65.842,65.857,3388.38916611624,51.45070632
2022-12-24 16:00:00,Bitfinex,LTC/USD,65.842,66.084,65.814,65.828,57477.3086642636,873.1437787
2022-12-24 15:00:00,Bitfinex,LTC/USD,65.758,65.86,65.756,65.848,2646.2989400172,40.18799265
2022-12-24 14:00:00,Bitfinex,LTC/USD,65.646,65.765,65.571,65.765,3770.9143017987,57.33922758
2022-12-24 13:00:00,Bitfinex,LTC/USD,65.59,65.853,65.59,65.662,3068.591684912501,46.73314375
2022-12-24 12:00:00,Bitfinex,LTC/USD,65.59,65.685,65.577,65.59,7185.248011145401,109.54791906
2022-12-24 11:00:00,Bitfinex,LTC/USD,65.579,65.688,65.575,65.614,4607.49875687806,70.22127529
2022-12-24 10:00:00,Bitfinex,LTC/USD,65.491,65.58,65.49,65.49,2807.3234542344,42.86644456
2022-12-24 09:00:00,Bitfinex,LTC/USD,65.46,65.548,65.31,65.46,7230.249626523599,110.45294266
2022-12-24 08:00:00,Bitfinex,LTC/USD,65.632,65.632,65.436,65.478,6263.784882262319,95.66243444
2022-12-24 07:00:00,Bitfinex,LTC/USD,65.282,65.66,65.282,65.609,10539.9760336558,160.6483262
2022-12-24 06:00:00,Bitfinex,LTC/USD,65.369,65.369,65.139,65.337,6373.38588824436,97.54635028
2022-12-24 05:00:00,Bitfinex,LTC/USD,65.646,65.646,65.34,65.421,7828.92395677467,119.66989127
2022-12-24 04:00:00,Bitfinex,LTC/USD,65.759,65.762,65.59,65.674,3016.30604587396,45.92846554
2022-12-24 03:00:00,Bitfinex,LTC/USD,65.73,65.8,65.702,65.769,2743.85606065494,41.71959526
2022-12-24 02:00:00,Bitfinex,LTC/USD,65.471,65.74,65.454,65.716,4702.08827674404,71.55165069
2022-12-24 01:00:00,Bitfinex,LTC/USD,65.828,65.869,65.46,65.464,5199.294632397599,79.42219589999999
2022-12-24 00:00:00,Bitfinex,LTC/USD,65.828,65.895,65.722,65.801,2771.523051571,42.119771
2022-12-23 23:00:00,Bitfinex,LTC/USD,65.705,65.936,65.644,65.828,3816.16181935576,57.97171142
2022-12-23 22:00:00,Bitfinex,LTC/USD,65.856,65.856,65.55,65.632,3505.07828117216,53.40502013
2022-12-23 21:00:00,Bitfinex,LTC/USD,65.674,65.94,65.487,65.859,2955.62576840268,44.87808452
2022-12-23 20:00:00,Bitfinex,LTC/USD,65.772,65.899,65.64,65.64,9818.3661842364,149.57900951
2022-12-23 19:00:00,Bitfinex,LTC/USD,65.646,65.768,65.574,65.747,87295.07985156728,1327.74240424
2022-12-23 18:00:00,Bitfinex,LTC/USD,65.661,65.716,65.6,65.646,28618.45584874794,435.95125139
2022-12-23 17:00:00,Bitfinex,LTC/USD,65.576,65.73,65.534,65.646,9084.51434897874,138.38641119
2022-12-23 16:00:00,Bitfinex,LTC/USD,65.657,65.661,65.504,65.576,14772.526150452,225.2733645
2022-12-23 15:00:00,Bitfinex,LTC/USD,65.412,65.897,65.366,65.748,11627.78492317104,176.85381948
2022-12-23 14:00:00,Bitfinex,LTC/USD,65.73,65.786,65.325,65.436,14404.003157268482,220.12352768
2022-12-23 13:00:00,Bitfinex,LTC/USD,66.08,66.27,65.089,65.744,45427.09019685088,690.96936902
2022-12-23 12:00:00,Bitfinex,LTC/USD,66.108,66.192,66.024,66.081,6214.88426741037,94.04948877
2022-12-23 11:00:00,Bitfinex,LTC/USD,65.996,66.122,65.863,66.024,7901.13893921352,119.67070973
2022-12-23 10:00:00,Bitfinex,LTC/USD,65.866,66.095,65.842,66.01,25211.105263474205,381.92857542
2022-12-23 09:00:00,Bitfinex,LTC/USD,65.842,65.969,65.733,65.856,23087.72289777408,350.57888268
2022-12-23 08:00:00,Bitfinex,LTC/USD,66.129,66.162,65.709,65.814,20029.08397964292,304.32862278
2022-12-23 07:00:00,Bitfinex,LTC/USD,65.912,66.227,65.88,66.07,21253.7879065429,321.68590747
2022-12-23 06:00:00,Bitfinex,LTC/USD,66.149,66.15,65.89,65.926,6736.1466197326,102.1773901
2022-12-23 05:00:00,Bitfinex,LTC/USD,66.332,66.423,66.11,66.136,5752.415714094,86.97858525
2022-12-23 04:00:00,Bitfinex,LTC/USD,66.294,66.314,66.093,66.314,11411.91210916268,172.08903262
2022-12-23 03:00:00,Bitfinex,LTC/USD,66.43,66.811,66.309,66.31,21901.1542923098,330.28433558
2022-12-23 02:00:00,Bitfinex,LTC/USD,66.332,66.6,66.152,66.454,23297.911397388016,350.58704363
2022-12-23 01:00:00,Bitfinex,LTC/USD,66.17,66.346,66.042,66.332,7277.679509777599,109.7159668
2022-12-23 00:00:00,Bitfinex,LTC/USD,66.32,66.699,66.136,66.136,11545.32128814848,174.56939168
2022-12-22 23:00:00,Bitfinex,LTC/USD,65.979,66.294,65.912,66.251,27086.72206219825,408.85001075
2022-12-22 22:00:00,Bitfinex,LTC/USD,65.761,65.991,65.744,65.939,9690.96246726453,146.96859927
2022-12-22 21:00:00,Bitfinex,LTC/USD,65.828,65.87,65.605,65.66,12848.5013176744,195.68232284
2022-12-22 20:00:00,Bitfinex,LTC/USD,65.353,66.29,65.213,65.8,33655.061834646,511.47510387
2022-12-22 19:00:00,Bitfinex,LTC/USD,64.736,65.392,64.708,65.353,8592.016690547889,131.47088413
2022-12-22 18:00:00,Bitfinex,LTC/USD,64.428,64.805,64.428,64.708,15585.91018428724,240.86527453
2022-12-22 17:00:00,Bitfinex,LTC/USD,64.856,65.016,64.396,64.486,32023.15883250224,496.59086984
2022-12-22 16:00:00,Bitfinex,LTC/USD,64.636,65.015,64.452,64.845,15437.2061976957,238.06316906
2022-12-22 15:00:00,Bitfinex,LTC/USD,64.933,65.169,64.62,64.68,20573.785432292403,318.08573643
2022-12-22 14:00:00,Bitfinex,LTC/USD,65.954,66.0,64.898,64.988,92195.25160315933,1418.65039089
2022-12-22 13:00:00,Bitfinex,LTC/USD,66.25,66.508,65.924,65.954,32301.87983893373,489.76377231
2022-12-22 12:00:00,Bitfinex,LTC/USD,66.411,66.556,66.22,66.248,20833.85742676056,314.48281347
2022-12-22 11:00:00,Bitfinex,LTC/USD,66.15,66.411,66.122,66.368,13282.4931228512,200.13399715
2022-12-22 10:00:00,Bitfinex,LTC/USD,66.165,66.372,66.12,66.234,51709.00830336149,780.70187975
2022-12-22 09:00:00,Bitfinex,LTC/USD,66.388,66.402,66.042,66.136,21659.4981326052,327.49936695
2022-12-22 08:00:00,Bitfinex,LTC/USD,66.318,66.73,66.248,66.388,55863.75988460904,841.47375858
2022-12-22 07:00:00,Bitfinex,LTC/USD,65.954,66.437,65.787,66.299,46328.38788691128,698.77958773
2022-12-22 06:00:00,Bitfinex,LTC/USD,66.016,66.199,65.782,65.927,42448.45176808439,643.87051994
2022-12-22 05:00:00,Bitfinex,LTC/USD,65.632,66.079,65.562,66.025,22613.97468020975,342.50624279
2022-12-22 04:00:00,Bitfinex,LTC/USD,65.538,65.732,65.451,65.656,3068.40833940576,46.73462196
2022-12-22 03:00:00,Bitfinex,LTC/USD,65.45,65.567,65.352,65.528,8455.74697130864,129.04021138
2022-12-22 02:00:00,Bitfinex,LTC/USD,65.351,65.529,65.296,65.492,5982.49736772352,91.34699456
2022-12-22 01:00:00,Bitfinex,LTC/USD,65.603,65.603,65.331,65.367,2964.9236587324203,45.35811126
2022-12-22 00:00:00,Bitfinex,LTC/USD,65.52,65.619,65.002,65.603,8603.40768981015,131.14351005
2022-12-21 23:00:00,Bitfinex,LTC/USD,65.422,65.637,65.296,65.436,13292.484511134362,203.13718001
2022-12-21 22:00:00,Bitfinex,LTC/USD,65.61,65.61,65.408,65.422,10950.63967727758,167.38466689
2022-12-21 21:00:00,Bitfinex,LTC/USD,65.663,65.815,65.535,65.683,6687.229595230261,101.81066022
2022-12-21 20:00:00,Bitfinex,LTC/USD,65.615,65.786,65.562,65.632,4576.92542977824,69.73618707
2022-12-21 19:00:00,Bitfinex,LTC/USD,65.716,65.84,65.525,65.592,34187.50705932,521.214585
2022-12-21 18:00:00,Bitfinex,LTC/USD,65.758,65.907,65.583,65.677,33656.93151398901,512.46146313
2022-12-21 17:00:00,Bitfinex,LTC/USD,65.333,65.773,65.198,65.745,66841.6450007106,1016.68027988
2022-12-21 16:00:00,Bitfinex,LTC/USD,65.84,65.884,65.271,65.394,63282.87724004569,967.71687372
2022-12-21 15:00:00,Bitfinex,LTC/USD,65.551,65.863,65.341,65.856,47637.43835255999,723.35760375
2022-12-21 14:00:00,Bitfinex,LTC/USD,65.601,66.017,65.161,65.471,38480.82586314708,587.75375148
2022-12-21 13:00:00,Bitfinex,LTC/USD,65.526,65.669,65.35,65.59,22256.950897881,339.3345159
2022-12-21 12:00:00,Bitfinex,LTC/USD,65.531,65.871,65.507,65.523,22081.75669930647,337.00771789
2022-12-21 11:00:00,Bitfinex,LTC/USD,65.498,65.723,65.381,65.612,4683.97018712332,71.38892561
2022-12-21 10:00:00,Bitfinex,LTC/USD,65.42,65.507,65.208,65.424,4038.78447023664,61.73246011
2022-12-21 09:00:00,Bitfinex,LTC/USD,65.338,65.571,65.291,65.364,7235.51028946356,110.69564729
2022-12-21 08:00:00,Bitfinex,LTC/USD,65.011,65.543,64.691,65.391,30511.579528410784,466.60212458
2022-12-21 07:00:00,Bitfinex,LTC/USD,65.099,65.247,64.991,65.083,8654.685567124328,132.97920451
2022-12-21 06:00:00,Bitfinex,LTC/USD,65.296,65.328,65.041,65.119,4005.74628034774,61.51424746
2022-12-21 05:00:00,Bitfinex,LTC/USD,64.833,65.403,64.7,65.251,9663.07649575178,148.09085678
2022-12-21 04:00:00,Bitfinex,LTC/USD,65.555,65.586,64.752,64.906,54452.58285124492,838.94528782
2022-12-21 03:00:00,Bitfinex,LTC/USD,66.153,66.154,65.194,65.574,36961.15685605523,563.65566926
2022-12-21 02:00:00,Bitfinex,LTC/USD,66.229,66.859,65.994,66.155,67077.47459559255,1013.94414021
2022-12-21 01:00:00,Bitfinex,LTC/USD,65.61,66.486,65.609,66.238,64071.822075398464,967.29705117
2022-12-21 00:00:00,Bitfinex,LTC/USD,65.662,66.098,65.325,65.722,7291.36713008654,110.94256307
2022-12-20 23:00:00,Bitfinex,LTC/USD,65.673,66.056,65.664,65.664,4444.0108073971205,67.67803983
2022-12-20 22:00:00,Bitfinex,LTC/USD,65.444,65.756,65.313,65.666,3308.86382173618,50.38930073
2022-12-20 21:00:00,Bitfinex,LTC/USD,65.29,65.649,65.29,65.491,10796.06040205532,164.84800052
2022-12-20 20:00:00,Bitfinex,LTC/USD,65.39,65.753,65.169,65.245,13110.3162905936,200.93978528
2022-12-20 19:00:00,Bitfinex,LTC/USD,65.241,65.317,65.092,65.284,8335.93790994288,127.68730332
2022-12-20 18:00:00,Bitfinex,LTC/USD,65.199,65.335,64.923,65.261,14402.742501047038,220.69448064
2022-12-20 17:00:00,Bitfinex,LTC/USD,65.339,66.378,65.066,65.157,95603.4705413112,1467.2785816
2022-12-20 16:00:00,Bitfinex,LTC/USD,65.02,65.465,64.62,65.339,49512.71725578029,757.78198711
2022-12-20 15:00:00,Bitfinex,LTC/USD,65.152,65.7,64.922,65.072,23312.38323074752,358.25521316
2022-12-20 14:00:00,Bitfinex,LTC/USD,64.768,65.6,64.306,65.256,48951.50524181736,750.14566081
2022-12-20 13:00:00,Bitfinex,LTC/USD,64.988,65.038,64.768,64.801,14225.433429169929,219.52490593
2022-12-20 12:00:00,Bitfinex,LTC/USD,65.075,65.226,64.923,65.024,19346.46111156224,297.52800676
2022-12-20 11:00:00,Bitfinex,LTC/USD,65.308,65.636,64.972,65.06,57694.1475799034,886.78370089
2022-12-20 10:00:00,Bitfinex,LTC/USD,65.001,65.544,64.948,65.27,13337.829303705,204.3485415
2022-12-20 09:00:00,Bitfinex,LTC/USD,65.071,65.29,64.974,65.06,56286.1591791524,865.14231754
2022-12-20 08:00:00,Bitfinex,LTC/USD,64.936,65.195,64.767,65.054,76827.69073965767,1180.98334829
2022-12-20 07:00:00,Bitfinex,LTC/USD,65.156,65.156,64.716,64.908,26428.23845348904,407.16457838
2022-12-20 06:00:00,Bitfinex,LTC/USD,65.197,65.436,64.911,65.14,38128.2897130364,585.3283652599999
2022-12-20 05:00:00,Bitfinex,LTC/USD,65.477,65.516,64.919,65.163,91181.21049348128,1399.27889283
2022-12-20 04:00:00,Bitfinex,LTC/USD,64.838,65.887,64.704,65.413,92116.21058827297,1408.22482669
2022-12-20 03:00:00,Bitfinex,LTC/USD,65.189,65.421,64.423,64.897,22590.255914989637,348.09399379
2022-12-20 02:00:00,Bitfinex,LTC/USD,64.641,65.601,64.4,65.097,103665.71206649816,1592.48063761
2022-12-20 01:00:00,Bitfinex,LTC/USD,64.098,65.07,64.086,64.57,121070.2363846118,1875.02301974
2022-12-20 00:00:00,Bitfinex,LTC/USD,63.369,64.671,63.148,64.057,40816.22467943874,637.18601682
2022-12-19 23:00:00,Bitfinex,LTC/USD,62.463,63.856,62.388,63.446,109485.99729437951,1725.65642112
2022-12-19 22:00:00,Bitfinex,LTC/USD,63.032,63.154,61.118,62.545,140257.4491524913,2242.50458314
2022-12-19 21:00:00,Bitfinex,LTC/USD,62.864,63.638,62.778,63.039,14580.08252904327,231.28670393
2022-12-19 20:00:00,Bitfinex,LTC/USD,62.379,62.92,62.36,62.855,21747.0175174135,345.9870737
2022-12-19 19:00:00,Bitfinex,LTC/USD,61.778,62.583,61.743,62.296,11549.04804421888,185.38988128
2022-12-19 18:00:00,Bitfinex,LTC/USD,62.311,62.549,61.695,61.784,19411.8138999112,314.1883643
2022-12-19 17:00:00,Bitfinex,LTC/USD,62.388,62.582,61.622,62.373,64017.28763751849,1026.36217013
2022-12-19 16:00:00,Bitfinex,LTC/USD,63.168,63.196,62.012,62.393,53909.50494083152,864.03130064
2022-12-19 15:00:00,Bitfinex,LTC/USD,63.475,63.617,63.166,63.225,15057.405447878253,238.15587897
2022-12-19 14:00:00,Bitfinex,LTC/USD,63.376,63.8,63.0,63.471,17886.94795195128,281.81292168
2022-12-19 13:00:00,Bitfinex,LTC/USD,63.663,63.853,63.329,63.421,15958.71894262306,251.63146186
2022-12-19 12:00:00,Bitfinex,LTC/USD,63.561,63.738,63.346,63.631,13578.13277263957,213.38864347
2022-12-19 11:00:00,Bitfinex,LTC/USD,63.856,63.856,63.465,63.556,45279.28431675096,712.43130966
2022-12-19 10:00:00,Bitfinex,LTC/USD,63.564,63.958,63.492,63.851,23650.44216267995,370.40049745
2022-12-19 09:00:00,Bitfinex,LTC/USD,63.467,63.71,63.415,63.556,33967.06697857364,534.44312069
2022-12-19 08:00:00,Bitfinex,LTC/USD,63.097,63.473,63.082,63.473,70617.54625650539,1112.5603998
2022-12-19 07:00:00,Bitfinex,LTC/USD,63.126,63.159,62.86,63.122,42195.102418432914,668.46903486
2022-12-19 06:00:00,Bitfinex,LTC/USD,62.689,63.126,62.689,63.084,329093.3801069124,5216.7487811
2022-12-19 05:00:00,Bitfinex,LTC/USD,62.833,62.849,62.5,62.725,3413.1851540995003,54.41506822
2022-12-19 04:00:00,Bitfinex,LTC/USD,62.701,62.972,62.461,62.82,77641.1911592352,1235.93109136
2022-12-19 03:00:00,Bitfinex,LTC/USD,63.863,64.037,61.551,62.771,154677.98038772983,2464.16307511
2022-12-19 02:00:00,Bitfinex,LTC/USD,64.689,64.691,63.609,63.916,39984.1861285756,625.5739741
2022-12-19 01:00:00,Bitfinex,LTC/USD,64.777,64.894,64.5,64.735,8060.4408906604,124.51441864
2022-12-19 00:00:00,Bitfinex,LTC/USD,64.52,65.099,63.974,64.709,30684.182033567933,474.18723877
2022-12-18 23:00:00,Bitfinex,LTC/USD,64.611,65.31,64.376,64.441,9368.9092178565,145.3873965
