https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume DOG
1650466800000,2022-04-20 15:00:00,DOG/USD,143410,144310,137620,144220,117.50757159999999,0.00081478
1650463200000,2022-04-20 14:00:00,DOG/USD,143690,145470,137570,145030,116.7607524,0.00080508
1650459600000,2022-04-20 13:00:00,DOG/USD,146240,149050,137470,145230,122.81955869999999,0.00084569
1650456000000,2022-04-20 12:00:00,DOG/USD,148610,148690,137370,147990,118.2810075,0.00079925
1650452400000,2022-04-20 11:00:00,DOG/USD,148550,148890,137260,146990,119.0751291,0.00081009
1650448800000,2022-04-20 10:00:00,DOG/USD,145580,148490,136220,146990,119.47641180000001,0.00081282
1650445200000,2022-04-20 09:00:00,DOG/USD,147380,147680,137210,145820,113.3940066,0.00077763
1650441600000,2022-04-20 08:00:00,DOG/USD,145810,147380,137190,146170,124.7180908,0.00085324
1650438000000,2022-04-20 07:00:00,DOG/USD,146320,147540,137270,145950,117.77435249999999,0.00080695
1650434400000,2022-04-20 06:00:00,DOG/USD,147210,147250,138320,138550,112.6896425,0.00081335
1650430800000,2022-04-20 05:00:00,DOG/USD,146820,147210,136000,146970,115.20390420000001,0.00078386
1650427200000,2022-04-20 04:00:00,DOG/USD,144220,146800,134850,146020,117.3183088,0.00080344
1650423600000,2022-04-20 03:00:00,DOG/USD,144130,146120,135550,145670,105.0659442,0.00072126
1650420000000,2022-04-20 02:00:00,DOG/USD,142900,144310,134550,135530,112.3259087,0.00082879
1650416400000,2022-04-20 01:00:00,DOG/USD,142690,144470,134020,134370,105.3931095,0.00078435
1650412800000,2022-04-20 00:00:00,DOG/USD,143630,145470,135440,135650,127.114902,0.00093708
1650409200000,2022-04-19 23:00:00,DOG/USD,142730,145740,134980,135430,121.56603089999999,0.00089763
1650405600000,2022-04-19 22:00:00,DOG/USD,143080,145330,133830,134950,134.40075349999998,0.00099593
1650402000000,2022-04-19 21:00:00,DOG/USD,142920,144900,135530,143090,129.6724507,0.0009062300000000001
1650398400000,2022-04-19 20:00:00,DOG/USD,143280,144760,134550,144560,107.3011056,0.00074226
1650394800000,2022-04-19 19:00:00,DOG/USD,143430,145430,137190,145140,118.3021626,0.00081509
1650391200000,2022-04-19 18:00:00,DOG/USD,143480,145420,136940,144990,114.81613109999999,0.00079189
1650387600000,2022-04-19 17:00:00,DOG/USD,143380,145150,136820,143450,117.861389,0.00082162
1650384000000,2022-04-19 16:00:00,DOG/USD,144180,146630,136110,136810,112.1130588,0.00081948
1650380400000,2022-04-19 15:00:00,DOG/USD,143490,145580,138720,144060,107.2296204,0.00074434
1650376800000,2022-04-19 14:00:00,DOG/USD,143590,143610,138700,138710,97.36054899999999,0.0007019
1650373200000,2022-04-19 13:00:00,DOG/USD,141360,143580,139380,143030,97.389127,0.0006809
1650366000000,2022-04-19 11:00:00,DOG/USD,141430,142070,139470,139500,49.39416,0.00035408
1650362400000,2022-04-19 10:00:00,DOG/USD,142200,142200,139250,139460,122.2701604,0.00087674
1650358800000,2022-04-19 09:00:00,DOG/USD,140980,142550,139160,139240,104.1055708,0.00074767
1650355200000,2022-04-19 08:00:00,DOG/USD,140650,142770,139020,142450,107.615277,0.00075546
1650351600000,2022-04-19 07:00:00,DOG/USD,140870,142490,138790,141740,123.7872116,0.00087334
1650348000000,2022-04-19 06:00:00,DOG/USD,141050,142800,138600,138780,125.915094,0.0009073
1650344400000,2022-04-19 05:00:00,DOG/USD,141410,142950,137160,142830,99.49966289999999,0.00069663
1650340800000,2022-04-19 04:00:00,DOG/USD,140880,143160,134810,137060,119.7685104,0.00087384
1650337200000,2022-04-19 03:00:00,DOG/USD,142300,142950,137540,137580,118.52516999999999,0.0008615
1650333600000,2022-04-19 02:00:00,DOG/USD,137890,142500,137500,140620,126.90955,0.0009025
1650330000000,2022-04-19 01:00:00,DOG/USD,141860,142760,134870,141060,105.8415498,0.00075033
1650326400000,2022-04-19 00:00:00,DOG/USD,141420,143590,137600,141870,135.7100046,0.00095658
1650322800000,2022-04-18 23:00:00,DOG/USD,140710,142770,134080,141400,127.052142,0.00089853
1650319200000,2022-04-18 22:00:00,DOG/USD,141800,142620,135120,135150,130.271085,0.0009639
1650315600000,2022-04-18 21:00:00,DOG/USD,140190,142660,134860,141060,113.1978288,0.00080248
1650312000000,2022-04-18 20:00:00,DOG/USD,140660,141190,133870,140000,132.9202,0.00094943
1650308400000,2022-04-18 19:00:00,DOG/USD,139700,141210,135230,139330,118.9933932,0.00085404
1650304800000,2022-04-18 18:00:00,DOG/USD,137130,141910,134730,141250,132.1125375,0.00093531
1650301200000,2022-04-18 17:00:00,DOG/USD,136650,137300,134180,137140,121.87357519999999,0.00088868
1650297600000,2022-04-18 16:00:00,DOG/USD,138550,138550,132810,134170,156.2919496,0.00116488
1650294000000,2022-04-18 15:00:00,DOG/USD,135740,139400,135550,136910,110.4521425,0.00080675
1650290400000,2022-04-18 14:00:00,DOG/USD,137280,138520,135530,135730,109.7146309,0.00080833
1650286800000,2022-04-18 13:00:00,DOG/USD,137770,139040,134940,135520,95.57548,0.00070525
1650283200000,2022-04-18 12:00:00,DOG/USD,134590,138070,134590,138070,124.2961368,0.00090024
1650279600000,2022-04-18 11:00:00,DOG/USD,136410,138370,133780,136220,132.3336434,0.00097147
