https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume USD,Volume ETH
1653566400000,2022-05-26 12:00:00,ETH/USD,1815.01862875,1830.2,1795.12723883,1810.5,3080175.16837272,1701.28426864
1653562800000,2022-05-26 11:00:00,ETH/USD,1830.67795994,1833.3,1797.77854369,1816.8,7527548.355612696,4143.30050397
1653559200000,2022-05-26 10:00:00,ETH/USD,1837.1,1843.2,1830.67795994,1830.7,932382.862347498,509.30401614
1653555600000,2022-05-26 09:00:00,ETH/USD,1833.50253807,1849.2,1820.6,1837.15606145,4296866.442554561,2338.86850046
1653552000000,2022-05-26 08:00:00,ETH/USD,1925.13772545,1925.44750644,1813.9,1833.4,16650332.851711318,9081.66949477
1653548400000,2022-05-26 07:00:00,ETH/USD,1922.0,1927.8,1910.3,1925.1,2662395.0636817077,1382.99052708
1653544800000,2022-05-26 06:00:00,ETH/USD,1923.9,1927.4,1908.0,1922.50229441,2880777.8102315087,1498.45220919
1653541200000,2022-05-26 05:00:00,ETH/USD,1937.6,1944.5,1921.1,1923.6,1045657.626937476,543.59410841
1653537600000,2022-05-26 04:00:00,ETH/USD,1948.22142723,1949.9,1935.0,1936.9,395834.734318009,204.36508561
1653534000000,2022-05-26 03:00:00,ETH/USD,1951.3,1952.2,1932.5,1947.7,1849375.033299389,949.51739657
1653530400000,2022-05-26 02:00:00,ETH/USD,1944.3,1955.6,1944.3,1952.5,3405670.2662719,1744.26133996
1653526800000,2022-05-26 01:00:00,ETH/USD,1958.2,1959.21540323,1943.1,1944.2,774633.60142675,398.43308375
1653523200000,2022-05-26 00:00:00,ETH/USD,1941.9,1964.8632284,1940.1,1958.1,1331247.1614010949,679.86678995
1653519600000,2022-05-25 23:00:00,ETH/USD,1964.0,1964.17502084,1938.97406291,1941.9,1343001.316415457,691.59138803
1653516000000,2022-05-25 22:00:00,ETH/USD,1966.8,1971.9,1959.69082028,1964.0,262178.34305092,133.49202803
1653512400000,2022-05-25 21:00:00,ETH/USD,1960.7,1968.4,1952.0,1967.0,981525.9705714401,498.99642632
1653508800000,2022-05-25 20:00:00,ETH/USD,1950.4,1963.2,1948.77203044,1959.5,1319367.927222295,673.31866661
1653505200000,2022-05-25 19:00:00,ETH/USD,1974.2,1979.29565923,1948.9,1950.7,2772194.195622392,1421.12790056
1653501600000,2022-05-25 18:00:00,ETH/USD,1961.7,1981.8,1946.0818199,1974.1,3245617.4127913387,1644.09979879
1653498000000,2022-05-25 17:00:00,ETH/USD,1952.7,1965.0,1951.4,1961.5,1006271.87243747,513.01140578
1653494400000,2022-05-25 16:00:00,ETH/USD,1963.2,1965.63339445,1941.9,1952.9,1514939.246489325,775.73825925
1653490800000,2022-05-25 15:00:00,ETH/USD,1969.0,1973.6,1953.91505294,1963.6,1028000.393985668,523.52841413
1653487200000,2022-05-25 14:00:00,ETH/USD,1971.6,1983.6,1962.16256637,1969.0,1706188.6227852402,866.52545596
1653483600000,2022-05-25 13:00:00,ETH/USD,1956.1,1984.3,1949.8,1972.0613971,2088330.1094531422,1058.95795766
1653480000000,2022-05-25 12:00:00,ETH/USD,1943.2,1958.5,1933.4,1956.49729514,1938782.1952332682,990.94550248
1653476400000,2022-05-25 11:00:00,ETH/USD,1962.6,1966.0,1941.4,1943.2,2438550.9185919836,1254.9150466199999
1653472800000,2022-05-25 10:00:00,ETH/USD,1974.54405672,1977.8,1962.2,1962.6,492714.490753746,251.05191621
1653469200000,2022-05-25 09:00:00,ETH/USD,1976.10480573,1980.3,1964.7,1974.7,598836.489983004,303.25441332
1653465600000,2022-05-25 08:00:00,ETH/USD,1976.64187583,1981.8,1961.1,1976.3,1859016.948756648,940.65523896
1653462000000,2022-05-25 07:00:00,ETH/USD,1983.64883519,1987.4,1973.9,1976.1,767126.5958769209,388.20231560999997
1653458400000,2022-05-25 06:00:00,ETH/USD,1986.43538382,1989.82706002,1973.1,1984.4,992090.891655424,499.94501696
1653454800000,2022-05-25 05:00:00,ETH/USD,2005.64369474,2012.0,1985.3,1987.1,340784.30435947195,171.49831632
1653451200000,2022-05-25 04:00:00,ETH/USD,2014.5,2014.50797188,2003.3,2005.9,696656.810627687,347.30385893
1653447600000,2022-05-25 03:00:00,ETH/USD,2015.1,2021.8,2008.2,2014.48139673,1025455.109385915,509.04173702
1653444000000,2022-05-25 02:00:00,ETH/USD,1987.16476834,2019.4,1980.2,2014.60483,1702996.3595336725,845.32526388
1653440400000,2022-05-25 01:00:00,ETH/USD,1974.74487608,1987.5,1970.0,1987.4,1153031.477989362,580.17081513
1653436800000,2022-05-25 00:00:00,ETH/USD,1978.5,1986.2,1972.8,1974.7,954651.529343876,483.44129708
1653433200000,2022-05-24 23:00:00,ETH/USD,1983.8,1990.56710277,1975.44482666,1979.2,335916.1653568,169.723204
1653429600000,2022-05-24 22:00:00,ETH/USD,1982.5,1987.75740685,1978.23427944,1982.3,348900.182984991,176.00776017
1653426000000,2022-05-24 21:00:00,ETH/USD,1969.3,1985.2,1968.2,1981.1,557875.9127431159,281.59906756
1653422400000,2022-05-24 20:00:00,ETH/USD,1961.6,1972.0,1951.1,1969.5,940906.01608536,477.73852048
1653418800000,2022-05-24 19:00:00,ETH/USD,1944.0,1968.64167588,1942.8,1960.9,1269301.243786579,647.30544331
1653415200000,2022-05-24 18:00:00,ETH/USD,1958.5,1972.2229186,1940.0,1944.3401791,1602944.9443679873,824.41589265
1653411600000,2022-05-24 17:00:00,ETH/USD,1957.6,1961.1,1934.62659438,1958.3,1619620.286193378,827.05422366
1653408000000,2022-05-24 16:00:00,ETH/USD,1961.70570029,1975.81960017,1950.6,1957.7,2670096.6602980243,1363.89470312
1653404400000,2022-05-24 15:00:00,ETH/USD,1934.5,1975.0,1929.4,1963.2,4047069.0851485445,2061.46550792
1653400800000,2022-05-24 14:00:00,ETH/USD,1931.1,1940.6,1910.6,1934.0,5377639.57126798,2780.57888897
1653397200000,2022-05-24 13:00:00,ETH/USD,1966.4,1967.9299381,1926.4,1931.2,4226172.7543211365,2188.36617353
1653393600000,2022-05-24 12:00:00,ETH/USD,1965.6,1969.0,1954.0,1966.06936168,2752199.7197816903,1399.84874055
1653390000000,2022-05-24 11:00:00,ETH/USD,1975.6,1983.61373444,1961.7,1966.32504268,1283050.3825503092,652.51184555
1653386400000,2022-05-24 10:00:00,ETH/USD,1972.3,1976.0,1967.6,1975.6,706556.008713148,357.64122733
1653382800000,2022-05-24 09:00:00,ETH/USD,1962.7,1974.43394812,1951.4,1971.5,1784738.9776403098,905.26958034
1653379200000,2022-05-24 08:00:00,ETH/USD,1983.8,1983.84844711,1960.5,1962.8,2877939.0136576802,1466.2416006
1653375600000,2022-05-24 07:00:00,ETH/USD,1980.0,1986.3,1974.5,1983.96416962,1124540.46754439,566.81490763
1653372000000,2022-05-24 06:00:00,ETH/USD,1981.0,1986.61584714,1973.0,1980.02835592,1194961.6499679063,603.5073419
1653368400000,2022-05-24 05:00:00,ETH/USD,1986.7,1988.1,1978.82433126,1980.8,481393.88962390396,243.03003313
1653364800000,2022-05-24 04:00:00,ETH/USD,1986.9,1992.6,1981.8,1986.4,712443.3939697361,358.66058899
1653361200000,2022-05-24 03:00:00,ETH/USD,1983.6,1988.81271709,1981.7,1986.86735646,332589.0814655208,167.39370164
1653357600000,2022-05-24 02:00:00,ETH/USD,1985.3,1989.0,1981.1,1983.91734082,954892.9184892828,481.31688697
1653354000000,2022-05-24 01:00:00,ETH/USD,1979.4,1986.8,1974.9,1985.10022385,509461.0178772252,256.64246659
1653350400000,2022-05-24 00:00:00,ETH/USD,1972.4373698,1986.4,1968.28249331,1979.48564626,1061286.447255082,536.1425324100001
1653346800000,2022-05-23 23:00:00,ETH/USD,1976.74232267,1976.74232267,1955.4,1971.6,1192548.838114368,604.86348048
1653343200000,2022-05-23 22:00:00,ETH/USD,1993.0,1993.0,1957.6,1977.06282351,3001004.0754310396,1517.91032624
1653339600000,2022-05-23 21:00:00,ETH/USD,1998.39615076,2003.4,1992.0,1993.3,656532.301331246,329.36953862
1653336000000,2022-05-23 20:00:00,ETH/USD,1978.8,2002.5,1975.6,1998.6,2797717.336762482,1399.83855537
1653332400000,2022-05-23 19:00:00,ETH/USD,2030.8,2031.7,1976.4,1978.5,5440362.77560938,2749.74110468
1653328800000,2022-05-23 18:00:00,ETH/USD,2050.0,2057.75929003,2026.8,2031.4,644825.75194023,317.42923695
1653325200000,2022-05-23 17:00:00,ETH/USD,2057.6,2058.65378449,2044.2,2049.59119329,957092.6469394637,466.96758362
1653321600000,2022-05-23 16:00:00,ETH/USD,2063.9,2078.1,2052.2,2057.48762037,1088212.5880947043,528.90358966
1653318000000,2022-05-23 15:00:00,ETH/USD,2057.52222672,2074.9,2055.80509599,2064.4,1743542.4707222602,844.57589165
1653314400000,2022-05-23 14:00:00,ETH/USD,2055.61710056,2065.8,2034.3,2056.03302927,1800474.5113534734,875.70310677
1653310800000,2022-05-23 13:00:00,ETH/USD,2064.2,2076.8,2043.1,2057.3,1564675.4900777072,760.54804359
1653307200000,2022-05-23 12:00:00,ETH/USD,2069.6,2087.8,2062.9,2065.0,703362.8204771,340.61153534
1653303600000,2022-05-23 11:00:00,ETH/USD,2072.39683877,2084.1,2064.65645925,2068.55762213,792891.9455291191,383.30667565
1653300000000,2022-05-23 10:00:00,ETH/USD,2067.83100999,2076.5,2064.4,2072.39683877,1184575.7436688337,571.59696517
1653296400000,2022-05-23 09:00:00,ETH/USD,2055.21113581,2072.06220843,2052.05147291,2067.0,1499986.09244952,725.68267656
1653292800000,2022-05-23 08:00:00,ETH/USD,2066.26768266,2073.88232299,2051.2,2054.2450911,2202818.376044349,1072.32500425
1653289200000,2022-05-23 07:00:00,ETH/USD,2057.13572024,2081.1,2049.7,2066.55288293,2118741.015280895,1025.25371249
1653285600000,2022-05-23 06:00:00,ETH/USD,2043.0,2060.03412886,2039.7,2057.14860397,3586769.740396072,1743.56375299
1653282000000,2022-05-23 05:00:00,ETH/USD,2027.9,2043.9,2025.8,2043.69730074,449593.48438544513,219.99025209
1653278400000,2022-05-23 04:00:00,ETH/USD,2029.66685524,2036.23224431,2025.9,2027.2,302398.57853094395,149.17056952
1653274800000,2022-05-23 03:00:00,ETH/USD,2027.5,2033.5,2025.95506018,2029.74538145,137436.58847537063,67.71124582
1653271200000,2022-05-23 02:00:00,ETH/USD,2031.8,2033.4,2018.7,2027.4,747502.3828180861,368.70000139
1653267600000,2022-05-23 01:00:00,ETH/USD,2042.1774757,2042.1774757,2029.0,2032.8,677823.339866904,333.44320143
1653264000000,2022-05-23 00:00:00,ETH/USD,2042.5,2056.52472957,2036.3,2042.1,775758.594590289,379.88276509
1653260400000,2022-05-22 23:00:00,ETH/USD,2035.01499056,2056.6,2035.01499056,2042.5,605897.49375065,296.64503978
1653256800000,2022-05-22 22:00:00,ETH/USD,2016.6,2049.47706097,2016.6,2034.7,2533457.135760682,1245.12563806
1653253200000,2022-05-22 21:00:00,ETH/USD,2007.1,2019.5,2005.71563409,2016.1,1085046.7180659708,538.19092211
1653249600000,2022-05-22 20:00:00,ETH/USD,2007.5,2018.0,2005.9,2007.46353443,277577.1527264763,138.2725753
1653246000000,2022-05-22 19:00:00,ETH/USD,2011.8,2017.1,2005.3,2007.07684183,187315.07082974832,93.32730413
1653242400000,2022-05-22 18:00:00,ETH/USD,2005.7,2015.1,2001.8,2012.63377786,343494.9330915745,170.66936711
1653238800000,2022-05-22 17:00:00,ETH/USD,2008.3,2021.9,2004.2,2006.1,913748.163823971,455.48485311
1653235200000,2022-05-22 16:00:00,ETH/USD,2003.3,2011.1,1991.76128862,2008.6,383738.34064209595,191.04766536
1653231600000,2022-05-22 15:00:00,ETH/USD,2017.00554529,2018.8,1989.7,2003.4,2405322.7267100224,1200.62030883
1653228000000,2022-05-22 14:00:00,ETH/USD,2021.8,2026.8,2014.78743068,2017.3,723767.849131031,358.78047347
1653224400000,2022-05-22 13:00:00,ETH/USD,2027.4,2027.6,2017.63131658,2021.76245134,455776.1418890421,225.43506117
1653220800000,2022-05-22 12:00:00,ETH/USD,2017.5,2032.9,2017.4,2027.38227408,1006486.1680123367,496.44617144
1653217200000,2022-05-22 11:00:00,ETH/USD,2028.7,2035.2,2011.5,2017.4,1267493.9935331522,628.28095248
1653213600000,2022-05-22 10:00:00,ETH/USD,2027.6,2037.9,2025.3,2028.72986533,1905250.0384953988,939.13441659
1653210000000,2022-05-22 09:00:00,ETH/USD,1984.7,2035.9,1983.9,2028.2,3718509.673601884,1833.40384262
1653206400000,2022-05-22 08:00:00,ETH/USD,1974.75574333,1984.9,1972.74887774,1983.4,365935.606949926,184.49914639
1653202800000,2022-05-22 07:00:00,ETH/USD,1973.6,1976.3,1969.9,1974.9,453240.14464239,229.5003011
1653199200000,2022-05-22 06:00:00,ETH/USD,1970.8,1974.9,1970.72325614,1973.59387378,113669.2776869131,57.59507019
1653195600000,2022-05-22 05:00:00,ETH/USD,1965.5,1974.2,1965.40733002,1970.74201215,729580.0312073632,370.20575332
1653192000000,2022-05-22 04:00:00,ETH/USD,1973.4,1974.3,1965.5,1965.5,229633.06961371,116.83188482
1653188400000,2022-05-22 03:00:00,ETH/USD,1974.33324531,1980.1,1971.27013467,1972.96012675,214104.23341591447,108.51929064
1653184800000,2022-05-22 02:00:00,ETH/USD,1979.4,1979.7,1971.3,1974.33324531,102704.73731640301,52.01996044
1653181200000,2022-05-22 01:00:00,ETH/USD,1977.6,1983.2,1977.6,1979.6,164069.79328081998,82.88027545
1653177600000,2022-05-22 00:00:00,ETH/USD,1974.0,1979.3,1971.05888566,1977.60760496,315105.968164779,159.33695207
1653174000000,2022-05-21 23:00:00,ETH/USD,1973.6,1980.7,1971.4338166,1973.91074729,339696.66142851923,172.0932225
1653170400000,2022-05-21 22:00:00,ETH/USD,1966.8,1973.8,1964.7,1973.5,512908.390417335,259.89784161
1653166800000,2022-05-21 21:00:00,ETH/USD,1974.4,1977.29073145,1965.8,1966.9,263611.642111272,134.02391688
1653163200000,2022-05-21 20:00:00,ETH/USD,1980.5,1984.3,1971.2,1975.3,298212.861653763,150.97092171
1653159600000,2022-05-21 19:00:00,ETH/USD,1983.0,1988.1,1977.1,1980.7,677317.8955418761,341.95885068
1653156000000,2022-05-21 18:00:00,ETH/USD,1975.3,1984.0,1975.3,1983.4,383335.486182324,193.27189986
1653152400000,2022-05-21 17:00:00,ETH/USD,1980.5,1985.0,1972.4,1974.9,632790.973119615,320.41671635
1653148800000,2022-05-21 16:00:00,ETH/USD,1979.9,1990.0,1976.5,1979.50884605,663677.8472273705,335.27399918
1653145200000,2022-05-21 15:00:00,ETH/USD,1976.4,1984.9,1962.9,1979.5,1382987.12972544,698.65477632
1653141600000,2022-05-21 14:00:00,ETH/USD,1968.2,1981.9,1958.1,1976.23731544,958216.27046387,484.86903014
1653138000000,2022-05-21 13:00:00,ETH/USD,1969.7,1975.5,1963.1,1968.2,605283.537388452,307.53151986
1653134400000,2022-05-21 12:00:00,ETH/USD,1968.2,1974.2,1960.9,1968.9,318580.26325024804,161.80621832
1653130800000,2022-05-21 11:00:00,ETH/USD,1969.8,1971.5,1955.3,1968.8,506108.23924052797,257.06432306
1653127200000,2022-05-21 10:00:00,ETH/USD,1971.80847145,1977.7,1964.40454185,1970.06230662,766079.260785374,388.86042244
1653123600000,2022-05-21 09:00:00,ETH/USD,1977.6,1978.14991762,1965.5319755,1971.8,463095.465127528,234.85924796
1653120000000,2022-05-21 08:00:00,ETH/USD,1978.6,1987.7,1975.6,1977.52606841,921955.4877773799,466.21660392
1653116400000,2022-05-21 07:00:00,ETH/USD,1971.23477665,1988.2,1964.5,1978.6,2260337.032625126,1142.39211191
1653112800000,2022-05-21 06:00:00,ETH/USD,1965.84141452,1973.4,1961.7,1970.9,1071091.771275994,543.45312866
1653109200000,2022-05-21 05:00:00,ETH/USD,1963.8,1968.10818991,1960.2,1966.6230612,682384.3746284515,346.98279914
1653105600000,2022-05-21 04:00:00,ETH/USD,1967.63920189,1968.9,1961.3,1963.81583466,320046.9154964709,162.97195992
1653102000000,2022-05-21 03:00:00,ETH/USD,1959.22894111,1969.2,1949.9,1967.5,534559.0992142,271.69458664
1653098400000,2022-05-21 02:00:00,ETH/USD,1952.4,1961.97517824,1944.1,1959.0,731987.5548297899,373.65367781
1653094800000,2022-05-21 01:00:00,ETH/USD,1964.6,1965.2,1937.2,1951.6,1047811.0384196839,536.89846199
1653091200000,2022-05-21 00:00:00,ETH/USD,1958.6,1972.96012675,1955.6,1963.0620685,658785.2556331794,335.59063985
1653087600000,2022-05-20 23:00:00,ETH/USD,1952.99709533,1978.6,1952.8,1959.8,1122069.269554014,572.54274393
1653084000000,2022-05-20 22:00:00,ETH/USD,1958.57210034,1970.53129463,1952.3,1952.4,867723.260600196,444.43928529
1653080400000,2022-05-20 21:00:00,ETH/USD,1958.9,1972.0,1958.4,1958.5,548483.14749693,280.05266658
1653076800000,2022-05-20 20:00:00,ETH/USD,1968.79430902,1974.2,1956.8,1958.9,1376115.228269878,702.49386302
1653073200000,2022-05-20 19:00:00,ETH/USD,1938.2,1971.7,1935.5,1967.5,1573124.3519265,799.5549438
1653069600000,2022-05-20 18:00:00,ETH/USD,1936.2,1945.9,1921.8,1939.23784011,2236124.847002277,1153.09468532
1653066000000,2022-05-20 17:00:00,ETH/USD,1933.0,1942.1,1924.8,1937.56330182,2827465.751104625,1459.28948409
1653062400000,2022-05-20 16:00:00,ETH/USD,1960.05745306,1961.3,1922.0,1933.6,9604793.810075168,4967.31165188
1653058800000,2022-05-20 15:00:00,ETH/USD,1985.74370347,1985.74370347,1952.0,1959.90256699,3842756.611033512,1960.68757486
1653055200000,2022-05-20 14:00:00,ETH/USD,2044.57883388,2044.9,1980.6,1985.6,3170276.285977472,1596.63390712
1653051600000,2022-05-20 13:00:00,ETH/USD,2036.4,2053.0,2028.38761511,2044.1,2470018.245617678,1208.36468158
1653048000000,2022-05-20 12:00:00,ETH/USD,2055.5,2058.74649205,2024.7,2037.0277958,2363397.1652799244,1160.21841732
1653044400000,2022-05-20 11:00:00,ETH/USD,2048.6673188,2065.1,2038.71869075,2054.2,2547424.5041961535,1240.10539587
1653040800000,2022-05-20 10:00:00,ETH/USD,2039.74253107,2049.0,2036.43440356,2049.0,965025.93374811,470.97410139
1653037200000,2022-05-20 09:00:00,ETH/USD,2028.63634094,2045.4,2023.40494279,2039.7,992242.5399333329,486.46494089
1653033600000,2022-05-20 08:00:00,ETH/USD,2026.7,2037.8,2023.7,2028.6,1778454.1237136938,876.69038929
1653030000000,2022-05-20 07:00:00,ETH/USD,2015.06967228,2033.0,2010.3,2027.25319744,1202538.202992852,593.18599399
1653026400000,2022-05-20 06:00:00,ETH/USD,2028.0,2028.3,2002.0,2015.06967228,872018.232143316,432.74842758
1653022800000,2022-05-20 05:00:00,ETH/USD,2019.5,2028.01274654,2015.1,2028.0,363788.47644204,179.38287793
1653019200000,2022-05-20 04:00:00,ETH/USD,2023.3,2036.5,2013.3,2020.0,1721306.9129020001,852.1321351
1653015600000,2022-05-20 03:00:00,ETH/USD,2028.9,2032.1,2021.0,2023.47502319,882883.593629089,436.32048012
1653012000000,2022-05-20 02:00:00,ETH/USD,2035.4,2038.0,2016.7,2028.9,1497114.089472885,737.89446965
1653008400000,2022-05-20 01:00:00,ETH/USD,2015.4316724,2053.4,2004.50474267,2036.1,2234977.5145766307,1097.67571071
1653004800000,2022-05-20 00:00:00,ETH/USD,2020.4,2020.82987458,2007.6,2015.68494816,1288975.2246767862,639.47256532
1653001200000,2022-05-19 23:00:00,ETH/USD,2007.2,2027.7,2007.2,2020.3,1008555.78349233,499.2109011
1652997600000,2022-05-19 22:00:00,ETH/USD,2014.7,2014.7,2000.7,2007.1,1065998.872007727,531.11398137
1652994000000,2022-05-19 21:00:00,ETH/USD,2017.4,2028.9,2013.52581335,2014.8,2045976.605429976,1015.47379662
1652990400000,2022-05-19 20:00:00,ETH/USD,1993.1,2019.8,1991.8,2017.3,8672843.146847086,4299.23320619
1652986800000,2022-05-19 19:00:00,ETH/USD,2014.00963162,2018.87292583,1990.8,1993.6,1257751.435904096,630.89458061
1652983200000,2022-05-19 18:00:00,ETH/USD,2016.0,2020.8,2006.36867024,2014.6,1054244.103010434,523.30194729
1652979600000,2022-05-19 17:00:00,ETH/USD,2011.8,2019.3,1995.0,2014.2,1783314.811147752,885.37126956
1652976000000,2022-05-19 16:00:00,ETH/USD,2023.86498391,2029.0,2007.2,2011.72959811,1937952.924501248,963.32674447
1652972400000,2022-05-19 15:00:00,ETH/USD,1979.55861836,2041.1,1975.7,2023.9,6998004.351019953,3457.68286527
1652968800000,2022-05-19 14:00:00,ETH/USD,1960.9,1988.6,1960.9,1978.81875449,4628584.549340446,2339.06442358
1652965200000,2022-05-19 13:00:00,ETH/USD,1953.6,1991.30537476,1943.2,1960.8,6625998.829801871,3379.23236934
1652961600000,2022-05-19 12:00:00,ETH/USD,1967.05832779,1967.67681016,1950.7,1954.6,2719011.74606415,1391.08346775
1652958000000,2022-05-19 11:00:00,ETH/USD,1940.7,1969.0,1931.5,1965.3,5295515.532068444,2694.50747065
1652954400000,2022-05-19 10:00:00,ETH/USD,1929.2,1946.1,1921.0,1941.43167028,2545813.230882307,1311.30715021
1652950800000,2022-05-19 09:00:00,ETH/USD,1933.84823277,1938.38146407,1914.3,1929.4,2797200.1840890804,1449.7772282
1652947200000,2022-05-19 08:00:00,ETH/USD,1952.0989466,1958.2,1933.5,1933.7757668,3836807.402201465,1984.10150136
1652943600000,2022-05-19 07:00:00,ETH/USD,1966.1700173,1968.0,1940.96319893,1952.3,2545281.091714858,1303.73461646
1652940000000,2022-05-19 06:00:00,ETH/USD,1946.7,1973.8,1946.7,1965.9,1700767.488954918,865.13428402
1652936400000,2022-05-19 05:00:00,ETH/USD,1948.4,1956.7,1943.78145945,1946.7,1801476.432895797,925.40012991
1652932800000,2022-05-19 04:00:00,ETH/USD,1953.26789659,1966.87717666,1947.03321309,1947.9,940156.824144759,482.65148321
1652929200000,2022-05-19 03:00:00,ETH/USD,1944.9,1970.4,1943.1,1953.10952664,3004071.493130906,1538.09678984
1652925600000,2022-05-19 02:00:00,ETH/USD,1909.1,1955.8,1903.0,1946.6,5573177.467334165,2863.03167951
