Datetime,Exchange,Symbol_Pair,Open,High,Low,Close,Volume_USD,Volume_in_XRP
2022-12-19 13:00:00,Bitfinex,XRP/USD,0.34292,0.34375,0.34046,0.34062,241989.6177963569,710438.66418988
2022-12-19 12:00:00,Bitfinex,XRP/USD,0.34244,0.34326,0.34055,0.34315,248746.92776827968,724892.6934818
2022-12-19 11:00:00,Bitfinex,XRP/USD,0.34415,0.34467,0.3415,0.34248,243306.7524073573,710426.16330109
2022-12-19 10:00:00,Bitfinex,XRP/USD,0.3438,0.3458,0.34352,0.3442,96205.0193001938,279503.251889
2022-12-19 09:00:00,Bitfinex,XRP/USD,0.34228,0.34405,0.34034,0.34343,343515.03526241134,1000247.60580733
2022-12-19 08:00:00,Bitfinex,XRP/USD,0.34437,0.3462,0.34187,0.3422,348273.5832809552,1017748.63612202
2022-12-19 07:00:00,Bitfinex,XRP/USD,0.34348,0.34485,0.34286,0.34439,131772.40462504345,382625.52520411
2022-12-19 06:00:00,Bitfinex,XRP/USD,0.34029,0.3435,0.34008,0.3435,246483.29852756736,717564.18785318
2022-12-19 05:00:00,Bitfinex,XRP/USD,0.34198,0.34287,0.3382,0.34026,479366.1301009608,1408823.04737836
2022-12-19 04:00:00,Bitfinex,XRP/USD,0.34195,0.34364,0.34178,0.34194,196790.75524819235,575512.5321641
2022-12-19 03:00:00,Bitfinex,XRP/USD,0.34703,0.34703,0.338,0.34178,1551630.9752084662,4539853.04935475
2022-12-19 02:00:00,Bitfinex,XRP/USD,0.35267,0.35281,0.3441,0.34703,215647.5545353141,621408.96906698
2022-12-19 01:00:00,Bitfinex,XRP/USD,0.35176,0.35269,0.35136,0.35267,143653.8113673435,407332.0990369
2022-12-19 00:00:00,Bitfinex,XRP/USD,0.35039,0.35348,0.35039,0.35175,162660.9026611759,462433.26982566
2022-12-18 23:00:00,Bitfinex,XRP/USD,0.35078,0.35293,0.34979,0.35032,224393.60284257415,640538.94394432
2022-12-18 22:00:00,Bitfinex,XRP/USD,0.35011,0.3518,0.3496,0.35068,181653.58349089493,518003.83110213
2022-12-18 21:00:00,Bitfinex,XRP/USD,0.35125,0.3514,0.34945,0.35013,131564.04022612906,375757.6906467
2022-12-18 20:00:00,Bitfinex,XRP/USD,0.3505,0.35168,0.35026,0.35124,64753.97154781984,184358.1925402
2022-12-18 19:00:00,Bitfinex,XRP/USD,0.34983,0.35066,0.34899,0.35041,89483.2881116402,255367.39280169
2022-12-18 18:00:00,Bitfinex,XRP/USD,0.34957,0.35185,0.34765,0.34966,582963.1607458912,1667228.62422322
2022-12-18 17:00:00,Bitfinex,XRP/USD,0.34895,0.34958,0.34757,0.34949,78451.74812105842,224474.94383547
2022-12-18 16:00:00,Bitfinex,XRP/USD,0.35,0.35059,0.34871,0.34896,194957.9748963964,558682.87166551
2022-12-18 15:00:00,Bitfinex,XRP/USD,0.35033,0.35098,0.35,0.35,56322.63094879749,160921.80271085
2022-12-18 14:00:00,Bitfinex,XRP/USD,0.34991,0.35074,0.34942,0.35059,75337.63212068385,214888.13748448
2022-12-18 13:00:00,Bitfinex,XRP/USD,0.35177,0.352,0.3498,0.35,521552.14719440346,1490148.99198401
2022-12-18 12:00:00,Bitfinex,XRP/USD,0.35244,0.35271,0.3517,0.35174,151869.97300860498,431767.70628477
2022-12-18 11:00:00,Bitfinex,XRP/USD,0.35146,0.35244,0.35127,0.35233,58619.69019363939,166377.23212227
2022-12-18 10:00:00,Bitfinex,XRP/USD,0.35112,0.35185,0.35044,0.3515,390021.0892620174,1109590.58111527
2022-12-18 09:00:00,Bitfinex,XRP/USD,0.35386,0.35398,0.35102,0.35109,275708.2781180396,785292.3128486701
2022-12-18 08:00:00,Bitfinex,XRP/USD,0.35356,0.35403,0.35309,0.35386,78611.59739302628,222154.51702093
2022-12-18 07:00:00,Bitfinex,XRP/USD,0.35405,0.35422,0.3533,0.3535,110632.35414981045,312962.81230498
2022-12-18 06:00:00,Bitfinex,XRP/USD,0.35467,0.35467,0.35298,0.35406,159637.01976042156,450875.613626
2022-12-18 05:00:00,Bitfinex,XRP/USD,0.35465,0.35481,0.35393,0.35476,184848.21126073,521051.44678298
2022-12-18 04:00:00,Bitfinex,XRP/USD,0.35379,0.35598,0.35338,0.35465,187063.4168075578,527459.23250404
2022-12-18 03:00:00,Bitfinex,XRP/USD,0.35305,0.35403,0.35239,0.35403,168590.96958444075,476205.32040912
2022-12-18 02:00:00,Bitfinex,XRP/USD,0.35239,0.35323,0.35221,0.35314,129034.39150488014,365391.60532616
2022-12-18 01:00:00,Bitfinex,XRP/USD,0.35345,0.35356,0.35181,0.35241,154976.58501264517,439762.16626272
2022-12-18 00:00:00,Bitfinex,XRP/USD,0.35504,0.35567,0.35296,0.35353,140482.09006899083,397369.64350689
2022-12-17 23:00:00,Bitfinex,XRP/USD,0.35269,0.35578,0.35176,0.35488,172116.9172012954,485000.33025613
2022-12-17 22:00:00,Bitfinex,XRP/USD,0.35071,0.35324,0.34989,0.35264,215757.97214422384,611836.3547647
2022-12-17 21:00:00,Bitfinex,XRP/USD,0.35063,0.35162,0.34912,0.35086,203596.0074168944,580277.05471383
2022-12-17 20:00:00,Bitfinex,XRP/USD,0.3505,0.35299,0.35023,0.35069,643293.1593186796,1834364.1373255
2022-12-17 19:00:00,Bitfinex,XRP/USD,0.351,0.35171,0.35005,0.35051,146673.42604787723,418457.17967498
2022-12-17 18:00:00,Bitfinex,XRP/USD,0.3489,0.35129,0.3487,0.35104,86602.38986752405,246702.34123611
